anyone|ANYONE|anyone
anything|EVERYTHING|everything
anyway|WHATEVER|whatever
apart|APART|apart
apartof|SOME|some
ape|GORILLA|gorilla
apiece|EVERY|each
apologize|SORRY|sorry
apology|SORRY|sorry
apparel|SWEATER|sweater
apparently|SEEM|seem
appear|SEEM|seem
appearance|FACE|face
appeartobe|SEEM|seem
applaud|YAY|yay
applause|YAY|yay
apple|APPLE|apple
appliance|MICROWAVE|microwave
applicant|VOLUNTEER|volunteer
apply|VOLUNTEER|volunteer
appoint|APPOINTMENT|appointment
appointment|APPOINTMENT|appointment
appreciate|ENJOY|enjoy
approach|MEET|meet
appropriate|REGULAR|regular
approve|VALIDATE|validate
april|APRIL|april
aquaticanimal|DOLPHIN|dolphin_2
arachnid|SPIDER|spider
arangeof|RANGE|range
archaeology|ARCHEOLOGY|archeology
archeology|MINE|mine
archery|BOW-AND-ARROW|bow_2
architecture|SHAPE|shape
are|REAL|really
area|PLACE|place
argh|PIRATE|pirate
argue|DISCUSS|discuss
argument|DISCUSS|discuss
arid|DRY|dry
arithmetic|MATH|math
arizona|ARIZONA|arizona
arm|ARM|arm_2
arm2|ARM|arm_2
arm3|ARM_3|arm_3
armoire|CLOSET|closet_1
army|ARMY|army
around|TWIRL|twirl
arrange|PLAN|plan
arrangement|STRUCTURE|structure
arrest|ARREST_2|grab
arrest1|ARREST_1|arrest
arrest2|BUSTED|arrest_2
arrest3|ARREST_3|arrest_3
arrested|ARREST_1|arrest
arrival|ARRIVE|arrive
arrive|ARRIVE|arrive
arrogant|BRAG|brag
arrow|DART|dart
art|DRAW|easel
article|ARTICLE|article
articulate-sign|ARTICULATE-SIGN|articulate_sign
articulatesign|ARTICULATE-SIGN|articulate_sign
artificial|FAKE|fake
asaresultof|BECAUSE|because
ascend|CLIMB|climb_ladder
asia|ASIA|asia
ask|SUMMON|summon
asleep|SLEEP|sleep
aspect|SOME|some
assemble|GET-TOGETHER|get_together
assembly|ASSEMBLY|assembly
assess|ANALYZE|analyze
